year,transect,POPR,BRIN,NatC3,IntC3,NatC4,IntC4,Natleg,Intleg,NatForb,IntForb,NatWoody,IntWoody,Bare,Dead,Robel,LitterDepth,TRT,bloop1,TSF,BurnSeason
2017,DNENEE,36.65,14.95,25.95,1.05,0,0,8.95,5.1,11.65,2.85,7.9,0,0.45,10.05,2.6,27.9375,PBG20,DNENEE20174,UNB,NA
2018,DNENEE,33.65,14.4,14.3,0,7.45,0,14.9,0.15,22.05,3,4.2,0,1.95,6.9,3.25,27.45,PBG20,DNENEE20181,UNB,NA
2019,DNENEE,25.1,13.65,10.6,0,7.7,0.3,5.5,3.1,10.7,5,2.7,0,1.35,4.2,3.3375,36.2875,PBG20,DNENEE20191,UNB,NA
2020,DNENEE,21.1,6.55,8.15,0.15,0,0,4.45,0.75,10.2,0.3,3.6,0,3.1,15.4,3.075,36.025,PBG20,DNENEE20201,UNB,NA
2017,DNENEW,27.8,18.55,23.9,0,0.15,0,4.8,6.6,15.45,1.2,2.55,0,1.5,15.4,2.2,18,PBG20,DNENEW20171,UNB,NA
2018,DNENEW,27.7619,5.142857,10.85714,0,5.952381,0,6.666667,2.428571,26.7619,0,9.047619,0.142857,15.85714,1.428571,2,9.333333,PBG20,DNENEW20181,0,SPRING
2019,DNENEW,32.4,2.55,6.25,0,1.65,0.15,4,1.95,28.3,0.9,0.75,0,9.65,7.3,2.4,9.8875,PBG20,DNENEW20191,1,SPRING
2020,DNENEW,16.45,7.35,15.3,1.5,3.75,0,1.35,1.65,18.9,1.05,5.1,0,3.15,25.4,1.725,22.0125,PBG20,DNENEW20201,2,SPRING
2017,DNENWE,24.19048,12.19048,31.33333,0,4.714286,0,2.142857,8.047619,16.57143,1.285714,3.428571,0,3.857143,9.190476,1.833333,11.59524,PBG20,DNENWE20171,UNB,NA
2018,DNENWE,29.95,8.8,10.35,0,16.15,0,4.65,2.4,26.5,0,3.7,0,7.4,2.7,2.45,12.75,PBG20,DNENWE20181,UNB,NA
2019,DNENWE,17.45,10.1,4.45,0.3,13.8,0,1.05,3.3,17.5,3.45,1.35,0,0.3,13.45,2.5625,39.1375,PBG20,DNENWE20191,UNB,NA
2020,DNENWE,13.15,3.75,10.45,0,1.2,0,0.75,1.2,8.95,0.15,2.55,0,2.4,19.05,3.0875,40.6875,PBG20,DNENWE20201,UNB,NA
2017,DNENWW,33.68421,9.105263,14.15789,0,3.894737,0,4.210526,6.315789,15.52632,2.368421,4.842105,0,4.526316,7.368421,1.736842,10.65789,PBG20,DNENWW20171,UNB,NA
2018,DNENWW,37.2,7.1,10.95,0,5.05,0,5.1,1.05,25.8,1.5,7.5,0,4.2,1.8,2.2,11.2,PBG20,DNENWW20181,UNB,NA
2019,DNENWW,33.45,5.85,4.3,1.9,4.55,0,4,4.65,18.3,1.05,2.55,0,5.4,2.7,2.15,17.275,PBG20,DNENWW20191,UNB,NA
2020,DNENWW,6.6,2.25,6.15,0.15,3.9,0,1.5,1.65,13.7,0.3,3.45,0,18.15,7.8,1.625,5.7625,PBG20,DNENWW20201,0,SPRING
2017,DNESEE,21.04762,2.428571,22,0.285714,4.809524,0,9.47619,6,15.28571,3.571429,3.904762,0,8.571429,2.857143,1.416667,3.869048,PBG20,DNESEE20171,0,SPRING
2018,DNESEE,29.4,4.15,19.15,0,9.7,0,11.5,1.05,23.15,3.4,5.8,0,2.55,1.8,2.3,7.2,PBG20,DNESEE20181,1,SPRING
2019,DNESEE,26.95,3,15.1,0,11.05,0,5.25,1.35,15.4,1.05,1.2,0,7.75,12.3,1.9125,11.4875,PBG20,DNESEE20191,2,SPRING
2020,DNESEE,20,2.55,3,0.15,8.25,0,2.1,1.2,7.6,0.75,3.1,0,5.05,22.4,1.7125,13.5625,PBG20,DNESEE20201,3,SPRING
2017,DNESEW,43.25,11.55,19.55,0,1.05,0.3,7.2,7.7,11.35,1.65,8.55,0,1.05,7.75,2.4,20.25,PBG20,DNESEW20171,UNB,FALL
2018,DNESEW,52.65,13.05,5.85,0,1.2,0,8.95,1.35,14.6,0,11.8,0,3.85,1.5,2.35,9.45,PBG20,DNESEW20181,0,FALL
2019,DNESEW,30.25,7.4,2.4,0,2.25,0,3.3,7.95,10.2,0.3,6.4,0,1.2,0,2.2125,27.45,PBG20,DNESEW20191,1,FALL
2020,DNESEW,33.4,3.9,2.7,0.3,2.4,0,1.95,1.65,10.6,0.45,6.3,0,2.1,16,2,18.3625,PBG20,DNESEW20201,2,FALL
2017,DNESWE,27.4,1.8,36.75,0,1.5,0,9.25,2.85,20.05,1.65,0.45,0,6,6.6,1.55,10.25,PBG20,DNESWE20171,UNB,NA
2018,DNESWE,36.7,0,22.2,0.15,9.05,0,4.95,2.7,25.55,0,0.15,0,7.7,2.7,2.05,12.5,PBG20,DNESWE20181,UNB,NA
2019,DNESWE,33.4,0.45,16.45,0,8.5,0.15,4.2,2.55,10.7,0.15,1.5,0,7.2,10.75,2.15,15.35,PBG20,DNESWE20191,UNB,NA
2020,DNESWE,15,2.25,18.25,1.2,9.05,0,2.1,1.2,8.4,0,1.8,0,7,32.45,1.4875,26.45,PBG20,DNESWE20201,UNB,NA
2017,DNESWW,20.75,8.6,18.2,0,0.9,0.3,4.05,11.65,11.35,5.35,0,0,5.25,4.2,1.2875,6.125,PBG20,DNESWW20171,UNB,NA
2018,DNESWW,31.4,9.35,9.7,0.75,4.65,0,4,9.1,18.8,0.75,0,0,7.8,1.5,1.4,8.2,PBG20,DNESWW20181,UNB,NA
2019,DNESWW,24.35,2.4,8.9,0,5.9,0,2.55,14.2,13.35,0,0,0,14.05,5.4,1.6875,2.4,PBG20,DNESWW20191,0,SPRING
2020,DNESWW,14.9,2.1,7.65,0.15,1.5,0,0.75,3.75,14.9,0.15,0,0,5.25,14.85,1.5,7.2,PBG20,DNESWW20201,1,SPRING
2017,DNWNEE,37.35,5.35,21.05,0,3.3,0,1.05,1.05,14.3,2.65,4.3,0,2.4,10.75,1.7125,20,PBG40,DNWNEE20171,UNB,NA
2018,DNWNEE,40.8,3.7,14.85,0,11.4,0,3.1,6.15,22.5,2.05,3,0,7,4.8,2.3,19.55,PBG40,DNWNEE20181,UNB,NA
2019,DNWNEE,9.65,0.6,19.7,0.15,5.9,0,3,0.3,16.35,0,1.65,0,30.2,3.9,1.4375,2.45,PBG40,DNWNEE20191,0,SPRING
2020,DNWNEE,17.8,4.65,17.65,1.8,4.2,0,1.5,1.5,20.15,0.45,4.45,0,12,33.1,1.3,16.9,PBG40,DNWNEE20201,1,SPRING
2017,DNWNEW,40.47368,15,5.789474,0.157895,17.26316,0.157895,1.736842,3.473684,11.21053,1.736842,1.263158,0,1.894737,3,1.144737,6.776316,PBG40,DNWNEW20171,UNB,NA
2018,DNWNEW,36,13.35,0.6,0,19.65,0,6.2,4.95,18.75,0.75,3.15,0,7.15,2.1,2.25,12.2,PBG40,DNWNEW20181,UNB,NA
2019,DNWNEW,14.25,4.95,4.3,0,18.45,0,4.2,0.75,14.7,1.65,0.15,0,29.05,4.5,1.45,3.0625,PBG40,DNWNEW20191,0,SPRING
2020,DNWNEW,11.7,5.25,4,0.3,12.85,0,2.25,2.4,14.6,2.95,1.05,0,20.4,15.25,1.1625,5.0625,PBG40,DNWNEW20201,1,SPRING
2017,DNWNWE,49.55,16.3,16.05,0.15,2.65,0,1.35,1.05,11.35,1.05,1.2,0,0.45,7.05,1.2625,20.75,PBG40,DNWNWE20171,UNB,NA
2018,DNWNWE,40.25,3,2.25,1.05,3.85,0,7.55,0.75,31.8,1.65,3.15,0,12.35,2.25,2.15,11.05,PBG40,DNWNWE20181,0,SPRING
2019,DNWNWE,40.65,2.35,8.5,3.15,7.35,0,2.8,0,19.3,2.05,1.8,0,9.9,5.35,2.725,8.7625,PBG40,DNWNWE20191,1,SPRING
2020,DNWNWE,22.65,1.05,23.65,3.55,0.9,0,1.5,0.3,17.55,0,2.1,0,8.65,23.55,1.2625,15.9125,PBG40,DNWNWE20201,2,SPRING
2017,DNWNWW,41.1,53.15,0.15,0,0,0.15,2.1,3.7,7.2,0.45,7.9,0,0.15,7.2,2.5125,25.1875,PBG40,DNWNWW20171,UNB,NA
2018,DNWNWW,24.68421,17.78947,0.789474,0,0,0,6.684211,3.157895,22.89474,0,17.63158,0,9.263158,3.631579,2.157895,14.26316,PBG40,DNWNWW20181,0,SPRING
2019,DNWNWW,44.6,15.25,0.75,0,2.05,0,4.65,2.1,24.05,0,4.85,0,0.3,1.05,3.6375,6.8875,PBG40,DNWNWW20191,1,SPRING
2020,DNWNWW,33.5,14.3,1.05,0.15,1.65,0,1.8,1.8,11.95,0.3,8.55,0,2.1,20.1,2.45,31.525,PBG40,DNWNWW20201,2,SPRING
2017,DNWSEE,30.31579,0,45.57895,0,0,0.157895,4.894737,2.368421,14.84211,2.210526,0.473684,0,2.526316,4.894737,1.013158,7.171053,PBG40,DNWSEE20171,UNB,NA
2018,DNWSEE,48.90476,0.714286,13,0.142857,5.142857,0,5.52381,3.857143,27.14286,0,1.428571,0.047619,6.714286,3.428571,2.047619,12.14286,PBG40,DNWSEE20181,UNB,NA
2019,DNWSEE,50.35,0.3,10.55,0,4,0,2.25,1.95,22.35,0,2.05,0,1.05,2.5,2.3625,24.675,PBG40,DNWSEE20191,UNB,NA
2020,DNWSEE,27.2,0,8.85,0,0,0,2.4,0.75,14.25,0,0.15,0,20.95,23.1,1.0875,12.3375,PBG40,DNWSEE20201,0,SPRING
2017,DNWSEW,45.3,40.35,2.55,0.3,0,0,1.8,1.05,6.6,0.15,8.1,0,0.6,7.05,2.0875,20.5625,PBG40,DNWSEW20171,UNB,NA
2018,DNWSEW,38.45,22.6,6.85,0.75,1.5,0,9.75,0.9,17.9,0.9,17.5,1.9,1.5,5.55,3.75,24.85,PBG40,DNWSEW20181,UNB,NA
2019,DNWSEW,43.4,15.25,9.2,0,2.65,0,2.7,0.45,10.15,0.75,8.35,0,0.15,6,4.2625,43.4,PBG40,DNWSEW20191,UNB,NA
2020,DNWSEW,17.2,7.15,1.5,0.15,3.75,0,5.1,0,12.55,0,8.65,0,19.7,14.85,1.5625,10.45,PBG40,DNWSEW20201,0,SPRING
2017,DNWSWE,44.7,24.95,4.2,0.75,2.65,0,1.35,0.75,10.2,0.45,3.45,0,4.65,2.85,1.2375,7.125,PBG40,DNWSWE20171,0,SPRING
2018,DNWSWE,42.05,29.6,4.15,1.65,1.5,0,1.95,5.95,25.55,0,6.95,0,5.4,1.65,2.85,11.25,PBG40,DNWSWE20181,1,SPRING
2019,DNWSWE,30.05,14.1,4.65,0,1.35,0,5.2,4.65,17.1,0.75,2.4,0,4.9,29.05,2.3125,43.8,PBG40,DNWSWE20191,2,SPRING
2020,DNWSWE,13.15,12.15,3.3,0,0.75,0,1.35,1.2,9.6,0,5.55,0,3.75,38.4,1.575,32.6875,PBG40,DNWSWE20201,3,SPRING
2017,DNWSWW,25.05,9.9,0.6,1.05,16.25,0.15,0.3,4.6,13.8,0.3,0.3,0,7.5,3.6,1.075,5.4375,PBG40,DNWSWW20171,0,SPRING
2018,DNWSWW,28.9,10,1.5,0.15,23.1,0,2.55,10.1,31.45,0,0,0,6.75,1.5,2.3,7,PBG40,DNWSWW20181,1,SPRING
2019,DNWSWW,25.2,8,1.8,0.15,23.3,0,0.15,9.05,24.2,0,0.45,0,5.55,27.1,1.95,37.0625,PBG40,DNWSWW20191,2,SPRING
2020,DNWSWW,17.75,8.8,9.75,0.45,11.1,0,0.45,1.2,9.55,0,0.9,0,2.85,42.05,1.6375,40.3,PBG40,DNWSWW20201,3,SPRING
2017,DSENEE,38.65,35.7,9.25,4.65,0,0,3.15,1.8,13.6,2.7,6,0,1.65,9.6,3.55,31.6875,PBG20,DSENEE20171,UNB,SUMMER
2018,DSENEE,48.90476,13.19048,7.238095,0,3.952381,0,12.85714,0.285714,8.857143,3.142857,6.142857,0,3.285714,1.142857,3.761905,11.33333,PBG20,DSENEE20181,0,SUMMER
2019,DSENEE,32.7,16.75,6.35,0,2.05,0,12.05,14.65,14.35,4.05,3.45,0,4.55,4.5,3.4,17.0375,PBG20,DSENEE20191,1,SUMMER
2020,DSENEE,28.45,12.8,8.3,0,0.15,0,6.25,1.8,7.05,1.8,3.15,0,2.95,10.2,2.4625,20.625,PBG20,DSENEE20201,2,SUMMER
2017,DSENEW,28.25,19.4,9.2,0.75,0,0,2.25,1.5,12.5,4.05,8.15,0,4.45,8.95,2.325,14.6875,PBG20,DSENEW20171,0,SPRING
2018,DSENEW,32.7,19.95,4.3,0.75,1.5,0,7.8,2.7,17.8,7.1,8.2,0,4.3,1.05,3.15,15.1,PBG20,DSENEW20181,1,SPRING
2019,DSENEW,32.6,13.95,7.95,0,0,0,10.05,4.3,16.5,1.5,3.9,0.15,0.9,24.3,3,53.65,PBG20,DSENEW20191,2,SPRING
2020,DSENEW,28.35,8.8,15,0.3,1.65,0,6.65,1.2,8.75,2.4,6.05,0,4.75,24.9,2.025,19.05,PBG20,DSENEW20201,3,SPRING
2017,DSENWE,39.8,24.55,5.2,0,0.15,0,1.8,4.05,11.3,1.2,5.55,0,0.75,8.4,2.6375,26.8125,PBG20,DSENWE20171,UNB,NA
2018,DSENWE,36.6,28.8,0.75,0,0,0,3.85,1.35,16.4,2.1,8.35,0,2.8,1.65,3.1,25,PBG20,DSENWE20181,UNB,NA
2019,DSENWE,47.95,31.05,2.1,0,0.15,0,7.3,9.55,11.95,0.15,6.55,0,1.35,14.9,3.075,43.2625,PBG20,DSENWE20191,UNB,NA
2020,DSENWE,30.6,13.45,0.75,0,0,0,6.25,1.8,8.95,0.15,17.45,0,0.9,14.3,2.8375,33.0625,PBG20,DSENWE20201,UNB,NA
2017,DSENWW,24.85,14.2,18.25,0,0,0,4,3.9,11.15,0.75,10.1,0,1.05,9.6,2.0875,17.125,PBG20,DSENWW20171,UNB,NA
2018,DSENWW,31.2,16.55,4.15,0,0,0,4.45,1.35,13.15,1.05,11.25,0,4.2,2.85,2.65,14.65,PBG20,DSENWW20181,UNB,NA
2019,DSENWW,39.25,6.75,3.45,0.15,0.9,0,1.05,12.45,19.6,0.9,3.6,0,9.65,8.2,2.35,28.2,PBG20,DSENWW20191,UNB,NA
2020,DSENWW,30.3,7.6,3.9,0.15,0.6,0,2.4,2.85,16.6,0.3,9.1,0,12.25,5.1,3.075,10.7875,PBG20,DSENWW20201,0,SPRING
2017,DSESEE,37.14286,13.61905,14.38095,3.714286,1.809524,0,2.714286,6.190476,14.38095,1.428571,7.714286,0,1.285714,6.428571,3.047619,31.54762,PBG20,DSESEE20171,UNB,NA
2018,DSESEE,25.5,6.55,7.65,0,10.75,0.15,9.05,5.2,13.45,4.45,4.65,0,8.8,3,2.6,6.75,PBG20,DSESEE20181,0,SPRING
2019,DSESEE,29,1.05,8.35,0.75,1.5,0,4.35,12.25,24.15,2.4,8.05,0,9.8,10.7,2.525,21.0125,PBG20,DSESEE20191,1,SPRING
2020,DSESEE,27.25,5.35,13.75,0.15,0,0,0.9,1.65,13.65,0.75,4.5,0,4.75,3.6,2.2,10.825,PBG20,DSESEE20201,2,SPRING
2017,DSESEW,29.65,28.75,11,0,1.8,0.9,3.45,6.4,9.25,3.1,5.1,0,2.1,7.5,2.6625,23.1875,PBG20,DSESEW20171,UNB,NA
2018,DSESEW,49.2,18.5,1.8,0,5,0,5.8,3.15,15.95,1.2,6.8,0,0.9,3.6,3.05,14.85,PBG20,DSESEW20181,UNB,NA
2019,DSESEW,38.55,10.2,4.8,0,0,0,7.55,9.95,9.4,1.45,4.6,0,1.8,24.3,2.3375,49.475,PBG20,DSESEW20191,UNB,NA
2020,DSESEW,35.57142857,11.66666667,10.47619048,1,4.333333333,0,4.285714286,3.714285714,17.95238095,0.285714286,5.571428571,0,2.285714286,14.85714286,2.166666667,34.36904762,PBG20,DSESEW20201,UNB,NA
2017,DSESWE,26.52632,24.94737,5.526316,0,19.94737,0,1.263158,11.21053,14.78947,0.947368,2.526316,0,1.578947,6.736842,2.539474,14.01316,PBG20,DSESWE20171,UNB,NA
2018,DSESWE,26,29.75,10.6,0,0,0,3.9,10.3,21.05,1.05,4.05,0,1.35,1.5,3.1,15.85,PBG20,DSESWE20181,UNB,NA
2019,DSESWE,18.95,29.5,1.95,0,0.15,0,3.4,3.3,15.95,1.05,1.95,0,21.15,22.15,1.2125,9.725,PBG20,DSESWE20191,0,SPRING
2020,DSESWE,21.45,19.5,16.45,2.85,0.45,0,2.4,7.2,20.15,0.6,3.3,0,8.2,21.25,1.8625,19.8,PBG20,DSESWE20201,1,SPRING
2017,DSESWW,27.95,46.9,6.2,0.15,4.55,0,0.9,3.15,10.3,1.35,4.15,0,3.3,6.45,2.5625,14.425,PBG20,DSESWW20171,UNB,NA
2018,DSESWW,15.1,31.3,3.8,0,0,0,3.3,4.4,14.35,0,5.85,0,5.2,1.8,2.85,15.2,PBG20,DSESWW20181,UNB,NA
2019,DSESWW,39,26.85,0.6,0,8.8,0,1.35,8.9,11.4,0.15,4.9,0,1.35,18.35,2.5125,53,PBG20,DSESWW20191,UNB,NA
2020,DSESWW,20.75,24.15,1.35,0.3,0,0,0.45,1.8,6.7,0.15,6.55,0,0.75,18.35,2.9375,32.275,PBG20,DSESWW20201,UNB,NA
2017,DSWNEE,35.45,29.9,5.25,0,0.45,0.15,4.6,2.85,15,2.85,5.2,0,4.2,7.05,2.3125,22.9375,PBG40,DSWNEE20171,UNB,NA
2018,DSWNEE,28.85,16.8,0.15,0,0.75,0,5.35,0.3,20.1,4.7,2.7,0,6.4,1.95,1.65,12.8,PBG40,DSWNEE20181,0,SPRING
2019,DSWNEE,34.45,15.2,7.4,0,0.9,0,6.15,5.8,27.7,0.3,1.05,0,2.1,8.6,2.0875,21.825,PBG40,DSWNEE20191,1,SPRING
2020,DSWNEE,28.45,14.7,12.35,1.65,1.2,0,4.05,2.25,12.55,0,2.85,0,9.3,26.55,1.675,22,PBG40,DSWNEE20201,2,SPRING
2017,DSWNEW,40.45,30.65,8.5,0,4.2,0.15,5.65,3.45,11.2,1.35,12.2,0,1.05,6.45,2.575,25,PBG40,DSWNEW20171,UNB,NA
2018,DSWNEW,16.85,14.15,0.3,0.15,3.3,0,5.85,0.3,12.5,0.3,9.35,0,8.65,1.35,1.5,10.5,PBG40,DSWNEW20181,0,SPRING
2019,DSWNEW,34.89474,7.684211,3.473684,0,0,0,13.36842,5.473684,20.57895,5.526316,5.315789,0,0.947368,10.94737,2.539474,25.76316,PBG40,DSWNEW20191,1,SPRING
2020,DSWNEW,33.9,5.25,5.15,0.3,0.3,0,3.6,0.9,17.75,1.2,8.85,0,1.95,10.75,2.1,20.3,PBG40,DSWNEW20201,2,SPRING
2017,DSWNWE,54.05,25.7,4.45,0,0.15,0,1.95,1.2,6.6,0.3,8.5,0,1.8,13.1,3.0875,26.6875,PBG40,DSWNWE20171,UNB,NA
2018,DSWNWE,47.26316,9.578947,4.105263,0,0,0,5,0.157895,14.31579,0.315789,10.47368,0,1.263158,4.894737,4.052632,36.36842,PBG40,DSWNWE20181,UNB,NA
2019,DSWNWE,45.11765,17.29412,0.882353,0,0,0,6.941176,0.352941,8.352941,1.764706,10.35294,0,0.352941,14.11765,2.911765,58.98529,PBG40,DSWNWE20191,UNB,NA
2020,DSWNWE,28.55,5.25,6.3,0.45,0.6,0,4.5,0.6,5.8,0,8.1,0,10.55,42.9,1.625,20,PBG40,DSWNWE20201,0,SPRING
2017,DSWNWW,41.2,38.35,4.15,0,0,0,4.35,1.65,16.15,0.6,10.3,0,0.75,5.85,3.175,22.375,PBG40,DSWNWW20171,UNB,NA
2018,DSWNWW,34.2,24.85,3,0,0,0,5.7,2.2,18.7,0.9,14.65,0,3.8,5.55,4.05,29.95,PBG40,DSWNWW20181,UNB,NA
2019,DSWNWW,34.2,24.85,3,0,0,0,5.7,2.2,18.7,0.9,14.65,0,3.8,5.55,4.05,29.95,PBG40,DSWNWW20191,UNB,NA
2020,DSWNWW,30.05,5.7,1.95,0.9,1.95,0,7.8,0.15,14.25,0.15,9.3,0,6.25,14.3,1.8375,14.0625,PBG40,DSWNWW20201,0,SPRING
2017,DSWSEE,27.05,28,8.6,3.45,0.15,0,3.9,1.8,17.65,3.3,7.75,0,0.3,14.2,2.6,23.875,PBG40,DSWSEE20171,UNB,NA
2018,DSWSEE,33.05,19.85,7.5,0.15,0,0,4.8,1.35,14.4,3.9,7.3,0,3.85,6.1,3.85,18.55,PBG40,DSWSEE20181,UNB,NA
